набор,баз,сайтов,свежих,дней,зоны,вышли в поиск,поисковых кликов,регистраций,ФД,кликов на регистрацию,ожидалось регистраций,вердикт
content-2026-09-12-12str-oform,3,618,618,2,lol:618,8,11,0,0,,0.3,мало данных
content-2026-09-15-12str-oform,3,618,618,2,team:412/lol:206,17,63,0,0,,0.1,мало данных
Generator_368369_styled_img,2,412,0,2,team:412,30,486,0,0,,0.3,мало данных
Generator_B_novyy_bez_img,2,412,0,2,team:412,26,90,0,0,,0.3,мало данных
Generator_A_staryy_stil,2,412,0,2,team:412,26,125,0,0,,0.3,мало данных
Выдача_06.09_7стр,2,412,0,2,lol:206/team:206,44,1269,0,0,,0.4,мало данных
nabory-631-640,2,300,300,1,lol:300,0,0,0,0,,0.1,мало данных
kruzhevnayamasterskaya1html,1,206,0,2,team:206,69,1026,0,0,,0.1,мало данных
degtyarnya,1,206,0,2,team:206,14,37,0,0,,0.1,мало данных
shponnayarezka1,1,206,0,2,team:206,19,77,0,0,,0.1,мало данных
tesemochnaya1,1,206,0,2,team:206,35,239,0,0,,0.1,мало данных
nabor391,1,206,0,2,team:206,8,38,0,0,,0.1,мало данных
bortnichiydvor1,1,206,0,2,team:206,35,398,0,0,,0.1,мало данных
drobilnyydvor1,1,206,0,2,lol:206,18,32,0,0,,0.1,мало данных
