баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
content-2026-09-14c-7str-oform-2 · 2026-09-15 · баз 41 · сайтов 8446 · выход3 20.5% · рег 15
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  itsr.team          team         206   45.6%     4623        56     2
  imic.team          team         206   36.9%     1873        56     4
  xlqd.team          team         206   34.0%     2781        56     0
  2600.team          team         206   33.5%     1305        56     3
  3255.lol           lol          206   32.5%     2172        56     0
  2659.team          team         206   30.1%     3225        56     1
  0749.team          team         206   26.7%     1875        56     1
  2211.team          team         206   25.7%      934        56     0
  1831.lol           lol          206   24.8%     4202        56     0
  0760.team          team         206   23.8%      818        56     0
  0938.team          team         206   23.3%     1742        56     0
  casinoez.team      team         206   23.3%      766        56     0
  casino088.team     team         206   23.3%     2329        56     1
  7492.lol           lol          206   23.3%     2270        56     1
  4118.team          team         206   22.3%      996        56     0
  casinorj.lol       lol          206   22.3%      748        56     0
  cyfd.team          team         206   21.4%      350        56     0
  85casino.team      team         206   20.9%      560        56     0
  25casino.lol       lol          206   20.4%      626        56     1
  8792.lol           lol          206   19.4%      256        56     0
  0964.lol           lol          206   18.4%      412        56     0
  hnur.team          team         206   18.4%     1452        56     0
  4773.lol           lol          206   18.0%     1462        56     0
  wkdp.lol           lol          206   17.0%      166        56     0
  7663.lol           lol          206   16.5%      299        56     0
  7311.team          team         206   16.5%      218        56     0
  5713.lol           lol          206   16.5%      206        56     1
  50casino.team      team         206   16.0%      784        56     0
  y6o.lol            lol          206   16.0%      195        56     0
  ngxo.team          team         206   15.5%      551        56     0
  kztt.lol           lol          206   15.0%      154        56     0
  8334.lol           lol          206   15.0%     1708        56     0
  0343.lol           lol          206   13.6%       91        56     0
