datetime,event,campaign,name,clickid,country,source,referer,user_ip,postback_ip,linked
"2026-09-11 05:15:08",reg,dorgen_engine,Dorgen_engine,f4c3ba8c4a604e4d,DE,luckybear.1009gg.casino,https://yandex.ru/,2.26.12.9,209.38.42.185,yes
"2026-09-11 03:15:09",reg,dorgen_engine,Dorgen_engine,5b16b3baecb0e9f1,IT,izzi.d6t5.team,https://yandex.ru/,57.131.23.130,209.38.42.185,yes
"2026-09-10 23:15:13",reg,dorgen_engine,Dorgen_engine,415a9add5d8fac9e,HK,cactus.3237.lol,https://yandex.ru/,61.18.172.71,209.38.42.185,yes
"2026-09-10 20:15:18",reg,dorgen_engine,Dorgen_engine,00a417de28be645c,NL,dragonmoney.8483.team,https://yandex.ru/,212.46.33.2,209.38.42.185,yes
"2026-09-10 20:15:18",reg,dorgen_engine,Dorgen_engine,00a417de28be645c,NL,dragonmoney.8483.team,https://yandex.ru/,212.46.33.2,209.38.42.185,yes
"2026-09-10 18:24:14",dep,dorgen_engine,Dorgen_engine,ae79ece5fa5a95cb,AT,leon.xpba.lol,https://yandex.ru/,91.227.33.135,209.38.42.185,yes
"2026-09-10 18:15:14",reg,dorgen_engine,Dorgen_engine,ae79ece5fa5a95cb,AT,leon.xpba.lol,https://yandex.ru/,91.227.33.135,209.38.42.185,yes
"2026-09-10 17:22:44",reg,kush_engine,Kush_engine,e7a48f372db9b7ce,BY,kush.113casino.lol,https://yandex.ru/,185.66.71.10,209.38.42.185,yes
"2026-09-10 17:22:44",reg,kush_engine,Kush_engine,e7a48f372db9b7ce,BY,kush.113casino.lol,https://yandex.ru/,185.66.71.10,209.38.42.185,yes
"2026-09-10 17:15:12",reg,dorgen_engine,Dorgen_engine,e30ce6457fb113e1,AM,goodwin.5406.lol,https://yandex.ru/,87.241.158.86,209.38.42.185,yes
"2026-09-10 17:15:11",reg,dorgen_engine,Dorgen_engine,abbde33a25c65df0,DE,casinox.3592.team,https://yandex.ru/,89.169.53.40,209.38.42.185,yes
"2026-09-10 16:15:13",reg,dorgen_engine,Dorgen_engine,edf08ccda5419270,NL,casino7.8739.lol,https://yandex.ru/,138.249.27.123,209.38.42.185,yes
"2026-09-10 13:24:34",dep,dorgen_engine,Dorgen_engine,04513904b9c8e5a4,DE,winline.casino5615.lol,https://yandex.ru/,151.240.151.177,209.38.42.185,yes
"2026-09-10 13:15:10",reg,dorgen_engine,Dorgen_engine,04513904b9c8e5a4,DE,winline.casino5615.lol,https://yandex.ru/,151.240.151.177,209.38.42.185,yes
"2026-09-10 12:23:21",dep,dorgen_engine,Dorgen_engine,31f61815b6bf32ac,US,leon.3574.team,https://yandex.ru/,193.233.130.79,209.38.42.185,yes
"2026-09-10 12:15:10",reg,dorgen_engine,Dorgen_engine,8071f278e9c60ada,GE,mellstroy.msvcasino.lol,https://yandex.ru/,185.10.172.102,209.38.42.185,yes
"2026-09-10 11:15:10",reg,dorgen_engine,Dorgen_engine,d1a98eeedf69b4ea,CZ,lex.5448.lol,https://yandex.ru/,194.87.59.199,209.38.42.185,yes
"2026-09-10 09:15:08",reg,dorgen_engine,Dorgen_engine,0e226a27222e9d91,HK,luckybird.bacasino.team,https://yandex.ru/,40.223.17.100,209.38.42.185,yes
"2026-09-10 08:15:08",reg,dorgen_engine,Dorgen_engine,b789b215c6e8ccac,UZ,like.3237.lol,https://yandex.uz/,185.139.137.26,209.38.42.185,yes
"2026-09-10 08:15:08",reg,dorgen_engine,Dorgen_engine,ae14916243abc7fa,IT,slotoro.a1f9.lol,https://yandex.ru/,31.76.113.233,209.38.42.185,yes
"2026-09-10 02:22:03",dep,dorgen_engine,Dorgen_engine,91d2c8d48a625b33,FR,bounty.4236.lol,https://yandex.ru/,89.125.23.140,209.38.42.185,yes
"2026-09-10 02:15:08",reg,dorgen_engine,Dorgen_engine,91d2c8d48a625b33,FR,bounty.4236.lol,https://yandex.ru/,89.125.23.140,209.38.42.185,yes
"2026-09-10 01:15:08",reg,dorgen_engine,Dorgen_engine,85531daae76fde7c,RU,marathon.bcqr.team,https://yandex.ru/,2a09:bac5:5196:286e::407:c,209.38.42.185,yes
"2026-09-10 00:15:11",reg,dorgen_engine,Dorgen_engine,526ded3d11d9d96f,LV,epicstar.h6k8.team,https://yandex.ru/,185.145.245.28,209.38.42.185,yes
"2026-09-10 00:15:11",reg,dorgen_engine,Dorgen_engine,101421caff1d123c,KG,cactus.6480.lol,https://ya.ru/,91.247.59.68,209.38.42.185,yes
"2026-09-09 23:18:39",reg,kush_engine,Kush_engine,13d24f247b0adae1,DE,kush.3237.lol,https://ya.ru/,185.126.67.212,209.38.42.185,yes
"2026-09-09 23:15:13",reg,dorgen_engine,Dorgen_engine,6053b88695540629,EE,casino7.5191.lol,https://yandex.by/,179.254.70.11,209.38.42.185,yes
"2026-09-09 23:15:13",reg,dorgen_engine,Dorgen_engine,5971e1c05d3f4f1f,DE,luckybird.qlmf.lol,https://yandex.ru/,54.36.112.7,209.38.42.185,yes
"2026-09-09 22:25:20",dep,dorgen_engine,Dorgen_engine,e26f0337c50c257b,LT,moneyx.7816.lol,https://yandex.ru/,88.119.176.73,209.38.42.185,yes
"2026-09-09 22:25:20",dep,dorgen_engine,Dorgen_engine,643de0f4b15400ef,FR,leon.casino4244.buzz,https://yandex.ru/,51.178.51.73,209.38.42.185,yes
"2026-09-09 22:15:12",reg,dorgen_engine,Dorgen_engine,643de0f4b15400ef,FR,leon.casino4244.buzz,https://yandex.ru/,51.178.51.73,209.38.42.185,yes
"2026-09-09 22:15:12",reg,dorgen_engine,Dorgen_engine,9a1e53d06b9ab289,DE,luckybird.msvcasino.lol,https://yandex.ru/,2.26.144.9,209.38.42.185,yes
"2026-09-09 21:15:13",reg,dorgen_engine,Dorgen_engine,60aef8fdff7c5d3a,NL,brillx.qlmf.lol,https://yandex.ru/,68.209.57.2,209.38.42.185,yes
